table_name,column_name,display_name,description,example_value
certification,cert_id,Certification ID,Unique identifier for each certification record.,1
certification,cert_type,Certification Type,"The kind of supplier / material certification on file — e.g. Certificate of Conformance, First Article Inspection, PPAP, FAA 8130-3, or Material Test Report.",CoC
certification,created_at,Created At,Timestamp for when the certification record was created.,2026-06-01 00:48:21
certification,expiry_date,Expiry Date,The expiry date for the certification.,2027-01-17
certification,issued_date,Issued Date,The issued date for the certification.,2026-01-17
certification,part_id,Part ID,Links each certification to its related part.,PN-10060
certification,receipt_id,Receipt ID,Links each certification to its related receipt.,1
certification,status,Certification Status,"Whether a certification is currently valid: active, expired, revoked, or pending renewal.",ACTIVE
certification,supplier_id,Supplier ID,Links each certification to its related supplier.,S-006
customer_order,created_at,Created At,Timestamp for when the customer order record was created.,2026-06-06 05:16:25
customer_order,customer_name,Customer Name,Human-readable name of the customer.,Northrop Grumman
customer_order,order_date,Order Date,The order date for the customer order.,2025-11-27
customer_order,order_id,Order ID,Unique identifier for each customer order record.,CO-00001
customer_order,site_id,Site ID,Links each customer order to its related site.,SITE-2
customer_order,status,Order Status,"Where a customer order sits in its lifecycle: entered, released, in process, shipped, invoiced, or closed. At 'shipped' the order is recognized as revenue.",SHIPPED
customer_order_line,created_at,Created At,Timestamp for when the customer order line record was created.,2026-06-06 05:16:25
customer_order_line,desired_release_date,Desired Release Date,The date to start work so the item is ready by its need-by date (need-by date minus the item's lead time).,2026-05-23
customer_order_line,line_no,Line No.,Numeric line no. recorded for each customer order line.,1
customer_order_line,need_by_date,Need By Date,The date the customer needs this line's item delivered.,2026-08-21
customer_order_line,order_id,Order ID,Links each customer order line to its related order.,CO-00001
customer_order_line,order_line_id,Order Line ID,Unique identifier for each customer order line record.,1
customer_order_line,order_qty,Order Quantity,How many units the customer ordered on this line. Drives the production batch size; the per-unit engineering standard is multiplied by this quantity.,25
customer_order_line,part_id,Part ID,Links each customer order line to its related part.,P-10036
customer_order_line,site_id,Site ID,Links each customer order line to its related site.,SITE-2
customer_order_line,unit_price,Unit Price,Numeric unit price recorded for each customer order line.,3391.02
inv_trans_dist,created_at,Created At,Timestamp for when the inv trans dist record was created.,2026-06-06 05:16:25
inv_trans_dist,dist_id,Dist ID,Unique identifier for each inv trans dist record.,1
inv_trans_dist,dist_qty,Dist Quantity,Numeric dist quantity recorded for each inv trans dist.,2.3
inv_trans_dist,in_trans_id,In Trans ID,Links each inv trans dist to its related in trans.,469
inv_trans_dist,out_trans_id,Out Trans ID,Links each inv trans dist to its related out trans.,262
inventory_transaction,class,Class,"The class of each inventory transaction; one of a small set of values such as: R, I, A.",R
inventory_transaction,created_at,Created At,Timestamp for when the inventory transaction record was created.,2026-06-06 05:16:25
inventory_transaction,part_id,Part ID,Links each inventory transaction to its related part.,PN-10060
inventory_transaction,po_id,PO ID,Links each inventory transaction to its related po.,PO-M240005
inventory_transaction,quantity,Quantity,Numeric quantity recorded for each inventory transaction.,4.0
inventory_transaction,site_id,Warehouse / Site,"The stockroom or plant site where this inventory move happened. Inventory is traced at the move, so this is where the material physically went.",PLANT-1
inventory_transaction,trans_date,Trans Date,The trans date for the inventory transaction.,2026-01-17
inventory_transaction,transaction_id,Transaction ID,Unique identifier for each inventory transaction record.,1
inventory_transaction,type,Transaction Type,Direction of the stock movement: a receipt into stock (in) versus an issue out to a work order or shipment (out).,ISSUE
inventory_transaction,wo_id,Wo ID,Links each inventory transaction to its related wo.,WO-240003
invoice_header,amount_dollars,Amount Dollars,Numeric amount dollars recorded for each invoice header.,22502.95
invoice_header,created_at,Created At,Timestamp for when the invoice header record was created.,2026-06-01 00:48:21
invoice_header,due_date,Due Date,The due date for the invoice header.,2026-04-02
invoice_header,invoice_date,Invoice Date,The invoice date for the invoice header.,2026-02-01
invoice_header,invoice_id,Invoice ID,Unique identifier for each invoice header record.,70
invoice_header,invoice_number,Invoice Number,The invoice number for each invoice header record.,INV-000070
invoice_header,payment_date,Payment Date,The payment date for the invoice header.,2026-05-14
invoice_header,po_id,PO ID,Links each invoice header to its related po.,PO-M240005
invoice_header,status,Status,"The status of each invoice header; one of a small set of values such as: Disputed, Approved, Paid, Open.",Disputed
invoice_header,supplier_id,Supplier ID,Links each invoice header to its related supplier.,S-006
invoice_header,three_way_match_status,Three-Way Match Status,"Result of matching a supplier invoice against its purchase order and receiving record before it can be paid: matched, on hold for price / quantity variance, or unmatched.",MATCHED
labor_ticket,burden_cost,Burden Cost,Numeric burden cost recorded for each labor ticket.,107.52
labor_ticket,clock_in,Clock In,The clock in for each labor ticket record.,2026-03-09T12:00:00
labor_ticket,clock_out,Clock Out,The clock out for each labor ticket record.,2026-03-09T14:33:36
labor_ticket,created_at,Created At,Timestamp for when the labor ticket record was created.,2026-06-01 00:48:21
labor_ticket,employee_id,Employee ID,Links each labor ticket to its related employee.,EMP-010
labor_ticket,labor_cost,Labor Cost,Numeric labor cost recorded for each labor ticket.,243.2
labor_ticket,resource_id,Resource ID,Links each labor ticket to its related resource.,CNC-MILL-1
labor_ticket,sequence_no,Sequence No.,Numeric sequence no. recorded for each labor ticket.,30
labor_ticket,ticket_id,Ticket ID,Unique identifier for each labor ticket record.,1
labor_ticket,total_hours,Total Hours,Numeric total hours recorded for each labor ticket.,2.56
labor_ticket,wo_id,Wo ID,Links each labor ticket to its related wo.,WO-240003
material_issue,created_at,Created At,Timestamp for when the material issue record was created.,2026-06-01 00:48:21
material_issue,issue_date,Issue Date,The issue date for the material issue.,2026-04-04
material_issue,issue_id,Issue ID,Unique identifier for each material issue record.,1
material_issue,issued_by,Issued By,"The issued by of each material issue; one of a small set of values such as: EMP-009, EMP-014, EMP-003, EMP-004, EMP-013, EMP-010.",EMP-009
material_issue,part_description,Part Description,Free-text part description for the material issue.,"Phenolic Insulation Block, MIL-I-24768, 2"" thick"
material_issue,part_id,Part ID,Links each material issue to its related part.,PN-10200
material_issue,quantity,Quantity,Numeric quantity recorded for each material issue.,15.8
material_issue,total_cost,Total Cost,Numeric total cost recorded for each material issue.,832.66
material_issue,unit_cost,Unit Cost,Numeric unit cost recorded for each material issue.,52.7
material_issue,wo_id,Wo ID,Links each material issue to its related wo.,WO-240003
operation,act_atl_bur_cost,Act Atl Bur Cost,Numeric act atl bur cost recorded for each operation.,0.0
operation,act_atl_lab_cost,Act Atl Lab Cost,Numeric act atl lab cost recorded for each operation.,0.0
operation,act_atl_ser_cost,Act Atl Ser Cost,Numeric act atl ser cost recorded for each operation.,0.0
operation,act_run_hrs,Act Run Hrs,Numeric act run hrs recorded for each operation.,0.0
operation,act_setup_hrs,Act Setup Hrs,Numeric act setup hrs recorded for each operation.,0.0
operation,close_date,Close Date,The close date for the operation.,2026-03-14
operation,est_atl_bur_cost,Est Atl Bur Cost,Numeric est atl bur cost recorded for each operation.,1520.0
operation,est_atl_lab_cost,Est Atl Lab Cost,Numeric est atl lab cost recorded for each operation.,3800.0
operation,est_atl_ser_cost,Est Atl Ser Cost,Numeric est atl ser cost recorded for each operation.,0.0
operation,last_disp_date,Last Disp Date,The last disp date for the operation.,
operation,last_recv_date,Last Recv Date,The last recv date for the operation.,
operation,operation_type_id,Operation Type ID,Links each operation to its related operation type.,ASSY
operation,resource_id,Resource ID,Links each operation to its related resource.,ASSEM-LINE-2
operation,rowid_pk,Rowid Pk,Unique identifier for each operation record.,216
operation,run_hrs,Run Hrs,Numeric run hrs recorded for each operation.,4.0
operation,run_type,Run Type,The run type of each operation; one of a small set of values such as: HR.,HR
operation,sched_finish_date,Sched Finish Date,The sched finish date for the operation.,2026-03-11
operation,sched_start_date,Sched Start Date,The sched start date for the operation.,2026-03-06
operation,sequence_no,Sequence No.,Numeric sequence no. recorded for each operation.,20
operation,service_begin_date,Service Begin Date,The service begin date for the operation.,
operation,service_id,Service ID,Links each operation to its related service.,NDT-UT
operation,setup_hrs,Setup Hrs,Numeric setup hrs recorded for each operation.,1.0
operation,status,Operation Status,"Execution state of a routing step on the shop floor: queued, started / running, or complete.",COMPLETE
operation,vendor_id,Vendor ID,Links each operation to its related vendor.,S-010
operation,wo_id,Wo ID,Links each operation to its related wo.,WO-00051
operation,workorder_type,Workorder Type,"The workorder type of each operation; one of a small set of values such as: M, W.",M
part,active,Active,Yes/no flag indicating whether the part active.,1
part,cage_code,Cage Code,"The cage code of each part; one of a small set of values such as: 59012, 1HHH9, K0579, 32499, F3234, CAGE1.",59012
part,created_at,Created At,Timestamp for when the part record was created.,2026-06-03 16:34:08
part,drawing_number,Drawing Number,"The drawing number of each part; one of a small set of values such as: DWG-10010-A, DWG-10011-A, DWG-10012-A, DWG-10013-A, DWG-10014-A, DWG-10024-A.",DWG-10010-A
part,lead_time_days,Lead Time Days,Numeric lead time days recorded for each part.,45
part,material_spec,Material Spec,"The material spec of each part; one of a small set of values such as: AMS 4928, AMS 2770, ASTM A240, BMS 8-276, AMS 5663, MS35337.",AMS 4928
part,on_hand_qty,On Hand Quantity,Numeric on hand quantity recorded for each part.,61.0
