defect_id,product_line,production_date,defect_type,defect_count,total_produced,defect_rate,severity,root_cause,created_date
1,Landing Gear,2024-01-02,Stress Crack,31,942,0.0329,Minor,Process deviation,2024-01-02 00:00:00
2,Sensor Assemblies,2024-01-02,Dimensional Out-of-Spec,27,834,0.0324,Critical,Machine calibration,2024-01-02 00:00:00
3,Landing Gear,2024-01-03,Thread Damage,13,460,0.0283,Minor,Environmental factors,2024-01-03 00:00:00
4,Sensor Assemblies,2024-01-03,Surface Scratch,22,564,0.039,Critical,Machine calibration,2024-01-03 00:00:00
5,Engine Mounts,2024-01-04,Material Contamination,41,910,0.0451,Critical,Process deviation,2024-01-04 00:00:00
6,Precision Bearings,2024-01-05,Dimensional Out-of-Spec,18,421,0.0428,Critical,Material variance,2024-01-05 00:00:00
7,Hydraulic Actuators,2024-01-06,Coating Failure,38,967,0.0393,Major,Process deviation,2024-01-06 00:00:00
8,Hydraulic Actuators,2024-01-07,Thread Damage,5,366,0.0137,Major,Operator error,2024-01-07 00:00:00
9,Control Valves,2024-01-07,Incorrect Assembly,6,186,0.0323,Critical,Process deviation,2024-01-07 00:00:00
10,Composite Panels,2024-01-07,Weld Defect,36,954,0.0377,Critical,Tool wear,2024-01-07 00:00:00
11,Landing Gear,2024-01-08,Missing Component,6,573,0.0105,Minor,Material variance,2024-01-08 00:00:00
12,Composite Panels,2024-01-10,Material Contamination,16,714,0.0224,Critical,Operator error,2024-01-10 00:00:00
13,Hydraulic Actuators,2024-01-10,Surface Scratch,7,680,0.0103,Minor,Environmental factors,2024-01-10 00:00:00
14,Composite Panels,2024-01-10,Stress Crack,29,891,0.0325,Critical,Material variance,2024-01-10 00:00:00
15,Control Valves,2024-01-11,Missing Component,17,982,0.0173,Minor,Process deviation,2024-01-11 00:00:00
16,Hydraulic Actuators,2024-01-12,Weld Defect,27,541,0.0499,Minor,Material variance,2024-01-12 00:00:00
17,Precision Bearings,2024-01-12,Coating Failure,12,844,0.0142,Critical,Process deviation,2024-01-12 00:00:00
18,Hydraulic Actuators,2024-01-12,Missing Component,2,129,0.0155,Critical,Environmental factors,2024-01-12 00:00:00
19,Control Valves,2024-01-13,Stress Crack,18,478,0.0377,Critical,Tool wear,2024-01-13 00:00:00
20,Engine Mounts,2024-01-13,Coating Failure,5,236,0.0212,Minor,Material variance,2024-01-13 00:00:00
21,Composite Panels,2024-01-13,Thread Damage,27,825,0.0327,Major,Tool wear,2024-01-13 00:00:00
22,Control Valves,2024-01-17,Incorrect Assembly,29,582,0.0498,Minor,Machine calibration,2024-01-17 00:00:00
23,Turbine Blades,2024-01-17,Porosity,2,105,0.019,Minor,Process deviation,2024-01-17 00:00:00
24,Composite Panels,2024-01-18,Material Contamination,23,787,0.0292,Minor,Tool wear,2024-01-18 00:00:00
25,Hydraulic Actuators,2024-01-18,Porosity,5,366,0.0137,Major,Operator error,2024-01-18 00:00:00
26,Hydraulic Actuators,2024-01-19,Porosity,5,191,0.0262,Major,Material variance,2024-01-19 00:00:00
27,Precision Bearings,2024-01-19,Surface Scratch,5,219,0.0228,Critical,Process deviation,2024-01-19 00:00:00
28,Precision Bearings,2024-01-19,Coating Failure,23,865,0.0266,Major,Operator error,2024-01-19 00:00:00
29,Sensor Assemblies,2024-01-20,Incorrect Assembly,5,546,0.0092,Minor,Process deviation,2024-01-20 00:00:00
